"Time_Iter";"Outer_Iter";"Inner_Iter";    "rms[Rho]"    ;    "rms[RhoU]"   ;    "rms[RhoV]"   ;    "rms[RhoE]"   
          0;           0;         314;     -0,9841372861;        1,95337593;       1,529487229;       4,806671399
          0;           0;         315;     -0,9552053683;       1,957205544;        1,63956995;       4,833511845
          0;           0;         316;      -0,969745243;       1,966156445;       1,558143667;       4,817004673
          0;           0;         317;      -0,960184966;       1,948622907;       1,636760869;        4,82975313
          0;           0;         318;     -0,9734166546;       1,959862386;       1,567493874;       4,816144731
          0;           0;         319;     -0,9481749927;        1,96801838;       1,648875897;       4,839961616
          0;           0;         320;     -0,9648329521;       1,974767921;       1,565721588;       4,825084606
          0;           0;         321;     -0,9697425727;       1,939862562;       1,624273937;       4,821734666
          0;           0;         322;     -0,9857228176;       1,950660652;       1,530226029;       4,804309798
          0;           0;         323;     -0,9664227476;        1,94662989;       1,622696216;       4,822621526
          0;           0;         324;     -0,9815715388;       1,962782426;       1,511883415;       4,807364093
          0;           0;         325;     -0,9701158572;       1,945427103;       1,605278586;       4,818643426
          0;           0;         326;     -0,9933637719;       1,948960349;       1,497986971;       4,799020562
          0;           0;         327;     -0,9687750535;       1,941650771;       1,619869904;       4,820213672
          0;           0;         328;      -0,989358791;       1,947720638;       1,523091151;        4,80092424
          0;           0;         329;      -0,939112443;       1,984748824;       1,638762931;        4,84427918
          0;           0;         330;     -0,9712575082;       1,966923509;       1,552439616;       4,816661253
          0;           0;         331;     -0,9439805948;         1,9739086;       1,645154865;       4,842351001
          0;           0;         332;     -0,9741923201;       1,957170875;       1,573915743;        4,81750896
          0;           0;         333;     -0,9550839408;       1,954343636;       1,650300101;       4,835061365
          0;           0;         334;      -0,981165128;       1,944720812;       1,574412328;       4,811768245
          0;           0;         335;      -0,961309331;       1,948869503;       1,638159527;       4,828291353
          0;           0;         336;     -0,9807348806;       1,953349224;       1,554974895;       4,810797771
          0;           0;         337;     -0,9553435265;       1,963857465;       1,629453309;       4,831793622
          0;           0;         338;      -0,997421626;       1,936917582;       1,514169177;       4,794988098
          0;           0;         339;     -0,9516299007;       1,973439199;        1,61739135;        4,83482114
          0;           0;         340;     -0,9956210718;        1,94446979;       1,502386918;       4,796824634
          0;           0;         341;     -0,9638032468;       1,951923909;       1,621700612;       4,824820409
          0;           0;         342;     -0,9928694673;       1,944373117;       1,513688688;       4,797094113
          0;           0;         343;      -0,965593938;       1,947342981;       1,621120478;       4,822873816
          0;           0;         344;     -0,9785679839;       1,960508615;        1,53195299;       4,808939881
          0;           0;         345;     -0,9575339943;       1,955346061;       1,636681885;       4,831662152
          0;           0;         346;     -0,9846181496;       1,943760776;       1,557359605;       4,806602095
          0;           0;         347;     -0,9579294149;       1,948738662;       1,647300596;       4,829916442
          0;           0;         348;     -0,9795872666;       1,947513254;       1,569844386;       4,810762848
          0;           0;         349;     -0,9476752717;        1,96793491;         1,6451655;       4,837103038
